objectid,codbarrio,nombre,coddistbar,coddistrit,gis.gis.BARRIOS.area,area_calculada_m2
63,3,LA CREU COBERTA,093,9,3748875.3125,374885.4482
65,4,LA FONTETA S.LLUIS,104,10,2388267.3438,238824.4187
601,5,RAFALELL-VISTABELLA,175,17,,2124468.7925
105,2,CAMI DE VERA,142,14,,827031.9849
153,1,BENIMAMET,181,18,,1477191.5688
121,2,BENIFERRI,182,18,,533945.5562
266,5,EL PALMAR,195,19,,36961639.7161
267,4,EL SALER,194,19,,8247660.4575
265,6,EL PERELLONET,196,19,,4928204.3511
185,2,CIUTAT FALLERA,162,16,,496907.7427
617,3,CARPESA,173,17,,2255540.2327
618,7,BORBOTO,177,17,,1419590.7305
5,1,BENIFARAIG,171,17,14228152.5,1422068.4363
10,2,TORREFIEL,152,15,7132926.25,700270.6135
11,4,TORMOS,054,5,279952.0,279948.9966
14,1,MARXALENES,051,5,3903659.375,390362.4692
15,3,EL CALVARI,043,4,936823.4375,93681.623
16,2,MORVEDRE,052,5,4281848.4375,428181.366
17,3,TRINITAT,053,5,5956786.875,595674.0652
22,3,EL CARME,013,1,3840678.75,384064.6562
24,1,EL BOTANIC,031,3,3701155.9375,370112.9714
25,1,EXPOSICIO,061,6,3816096.875,381606.8171
32,2,LA XEREA,012,1,3116499.375,311647.8906
33,5,EL MERCAT,015,1,1727952.1875,172793.9736
34,4,EL PILAR,014,1,1616061.5625,161605.1069
38,2,EL PLA DEL REMEI,022,2,3869178.4375,386915.3203
39,1,L'ILLA PERDUDA,131,13,2315291.875,231522.0793
42,4,ARRANCAPINS,034,3,8743740.625,874368.7344
44,2,LA ROQUETA,032,3,2305684.0625,230567.0178
53,1,LA RAIOSA,091,9,3754483.75,375446.3115
54,4,SAFRANAR,084,8,4412657.8125,441263.4309
202,3,SANT LLORENS,153,15,,1532591.238
56,2,EN CORTS,102,10,3640261.875,364024.3521
59,3,MALILLA,103,10,25073007.5,2507152.124
21,3,JAUME ROIG,063,6,1908009.0625,187100.2314
13,1,BENIMACLET,141,14,7431831.875,751257.2561
23,4,CIUTAT UNIVERSITARIA,064,6,2769592.1875,273850.4663
9,1,BENICALAP,161,16,17189645.0,1718922.8354
12,5,SANT ANTONI,055,5,2497340.9375,249871.479
31,2,MESTALLA,062,6,8435878.75,843726.1665
41,2,ALBORS,122,12,2560381.0938,255654.9792
35,3,L'AMISTAT,133,13,2072748.5938,208612.2971
29,4,BETERO,114,11,2553075.3125,267236.9836
30,2,CABANYAL-CANYAMELAR,112,11,1349264.0,1349868.9426
137,5,LA CARRASCA,135,13,,1945697.4722
585,3,LA MALVA-ROSA,113,11,,732988.1541
27,4,LA VEGA BAIXA,134,13,1934977.1875,190570.7847
43,1,AIORA,121,12,6512132.5,651351.6592
76,2,CIUTAT JARDI,132,13,,363905.8286
62,5,NATZARET,115,11,9171125.625,916438.7808
74,6,LA PUNTA,106,10,,6213241.0769
75,1,EL GRAU,111,11,,5231981.5232
49,1,RUSSAFA,021,2,8777031.875,876743.8005
45,3,LA GRAN VIA,023,2,4685680.625,467115.8049
52,1,MONTOLIVET,101,10,4732563.125,474699.4607
220,4,LA FONTSANTA,074,7,,322999.2188
89,3,VARA DE QUART,083,8,,1034606.3376
48,1,PATRAIX,081,8,6213048.125,621303.1274
46,3,TRES FORQUES,073,7,5269012.5,526794.3464
217,1,NOU MOLES,071,7,,739498.7983
218,2,SOTERNES,072,7,,224341.3076
219,5,LA LLUM,075,7,,175203.5222
169,4,SANT PAU,044,4,,3898034.3899
28,3,LA PETXINA,033,3,4966687.5,496771.7434
20,1,CAMPANAR,041,4,9857367.5,987768.1887
19,2,LES TENDETES,042,4,2582091.7188,258172.4602
64,5,CAMI REAL,095,9,1477502.0,1477562.7942
60,5,FAVARA,085,8,2802505.625,280212.6082
58,2,SANT ISIDRE,082,8,4952205.625,495138.9016
61,2,L'HORT DE SENABRE,092,9,4263543.125,426389.116
47,4,CAMI FONDO,124,12,1571880.3125,158578.6304
57,5,NA ROVELLA,105,10,5401196.25,536476.179
50,5,PENYA-ROJA,125,12,9111358.75,907401.2935
51,3,LA CREU DEL GRAU,123,12,3916579.0625,390193.1431
55,7,CIUTAT DE LES ARTS I DE LES CIENCIES,107,10,9892311.25,992883.6235
619,2,POBLE NOU,172,17,,2930957.6638
620,4,LES CASES DE BARCENA,174,17,,1201023.3499
621,5,MAHUELLA-TAULADELLA,175,17,,1043066.1384
249,3,PINEDO,193,19,,6526456.3613
633,6,MASSARROJOS,176,17,,2781900.8035
233,8,FAITANAR,198,19,,4902501.4653
250,2,CASTELLAR-L'OLIVERAL,192,19,,2989701.2
251,1,EL FORN D'ALCEDO,191,19,,1200882.3877
252,7,LA TORRE,197,19,,419523.0122
37,6,SANT FRANCESC,016,1,4386583.125,438655.2903
66,4,SANT MARCEL.LI,094,9,3304381.875,330435.4602
201,1,ELS ORRIOLS,151,15,,396738.1736
26,1,LA SEU,011,1,2210741.0938,221072.5969
